,text
193,RT @IndiaHistorypic: In 1956 Govt of India Established Heavy Electricals (India) Limited (HE(I)L) to Make India Self Reliant ( #atmnirbhar…
194,@tsrawatbjp #atmnirbhar खेतीआत्मनिर्भर बना ने मै पूर्ण रूप से सक्षम है पर महोदय यहाँ पहाड़ो मे खेती की बहुत बुरी द… https://t.co/F1WiZgfVHK
195,RT @chandan_samant: #FakeCases #GenderBiasedLaws ka misuse karne wali aur padhi likhi naukri karne layak lekin khud ko adalat me abla nari…
196,RT @IndiaHistorypic: In 1956 Govt of India Established Heavy Electricals (India) Limited (HE(I)L) to Make India Self Reliant ( #atmnirbhar…
197,"RT @holdmybeerbro_: #atmanirbharata
#Feminism is #COVID__19
#FakeCases_498a_DV
#DomesticAbuse on Men
#arrestswatimaliwal
#boislockeroom
Tel…"
198,"@MahuaMoitra Yep , stop taking salaries and perks from our taxes be #atmnirbhar"
199,"If we have to be #Atmnirbhar  then
Why do we need a Government? 🤔🤔"
200,"RT @cskkanu: Scrap #GenderBiasedLaws against men

#AtmNirbhar Bano 
#GoldDigger #Girls https://t.co/UUR7l9K6s5"
201,"RT @cskkanu: Strong message for #GoldDigger #BloodSucker Women from @PMOIndia

#AtmNirbhar Bano 

Time to Scrap all the maintenance and ali…"
202,RT @chandan_samant: #FakeCases #GenderBiasedLaws ka misuse karne wali aur padhi likhi naukri karne layak lekin khud ko adalat me abla nari…
